Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
040.376.376.3.dta 991782 991782 0 0 572661 572661
040.378.378.1.dta 7789182 7789182 0 0 6676239 6676239
040.379.379.1.dta 1429876 1429876 0 0 1036328 1036328
040.380.380.2.dta 1206807 1206807 0 0 653039 653039
040.380.380.3.dta 1206807 1206807 0 0 653039 653039
040.382.382.2.dta 1227133 1227133 0 0 1083032 1083032
040.382.382.3.dta 1227133 1227133 0 0 1083032 1083032
040.383.383.1.dta 1203119 1203119 0 0 2099875 2099875
040.384.384.2.dta 977635 977635 0 0 1135473 1135473
040.384.384.3.dta 977635 977635 0 0 1135473 1135473
040.386.386.1.dta 1740178 1740178 0 0 1871015 1871015
040.387.387.1.dta 1547538 1547538 0 0 2372768 2372768
040.388.388.2.dta 1118090 1118090 0 0 145143 145143
040.388.388.3.dta 1118090 1118090 0 0 145143 145143
040.391.391.2.dta 908774 908774 0 0 622050 622050
040.391.391.3.dta 908774 908774 0 0 622050 622050
040.392.392.2.dta 849223 849223 0 0 153980 153980
040.392.392.3.dta 849223 849223 0 0 153980 153980
040.394.394.1.dta 1755924 1755924 0 0 306002 306002
040.395.395.1.dta 1326066 1326066 0 0 1604087 1604087
040.396.396.2.dta 1237159 1237159 0 0 142531 142531
040.396.396.3.dta 1237159 1237159 0 0 142531 142531
040.398.398.2.dta 1023615 1023615 0 0 86880 86880
040.398.398.3.dta 1023615 1023615 0 0 86880 86880
040.399.399.1.dta 946263 946263 0 0 104087 104087
040.400.400.2.dta 917503 917503 0 0 1033676 1033676
040.400.400.3.dta 917503 917503 0 0 1033676 1033676
040.402.402.2.dta 2308100 2308100 0 0 6626542 6626542
040.402.402.3.dta 2308100 2308100 0 0 6626542 6626542
040.403.403.2.dta 1424619 1424619 0 0 746028 746028
040.403.403.3.dta 1424619 1424619 0 0 746028 746028
040.404.404.2.dta 1255074 1255074 0 0 92431 92431
040.404.404.3.dta 1255074 1255074 0 0 92431 92431
040.406.406.2.dta 2259985 2259985 0 0 10237287 10237287
040.406.406.3.dta 2259985 2259985 0 0 10237287 10237287
040.407.407.2.dta 1826483 1826483 0 0 1040500 1040500
040.407.407.3.dta 1826483 1826483 0 0 1040500 1040500
040.408.408.1.dta 1388371 1388371 0 0 167966 167966
040.410.410.1.dta 2179543 2179543 0 0 1442506 1442506
040.411.411.2.dta 1968928 1968928 0 0 304854 304854
040.411.411.3.dta 1968928 1968928 0 0 304854 304854
040.412.412.2.dta 1160145 1160145 0 0 906012 906012
040.412.412.3.dta 1160145 1160145 0 0 906012 906012
040.414.414.1.dta 1902349 1902349 0 0 1822470 1822470
040.415.415.2.dta 1419103 1419103 0 0 4068377 4068377
040.415.415.3.dta 1419103 1419103 0 0 4068377 4068377
040.416.416.1.dta 1402081 1402081 0 0 236885 236885
040.418.418.1.dta 1055870 1055870 0 0 203330 203330
040.419.419.2.dta 966222 966222 0 0 213130 213130
040.419.419.3.dta 966222 966222 0 0 213130 213130
040.420.420.2.dta 920102 920102 0 0 783995 783995
040.420.420.3.dta 920102 920102 0 0 783995 783995
040.422.422.2.dta 1444750 1444750 0 0 8285140 8285140
040.422.422.3.dta 1444750 1444750 0 0 8285140 8285140
040.423.423.2.dta 1062306 1062306 0 0 202053 202053
040.423.423.3.dta 1062306 1062306 0 0 202053 202053
040.424.424.2.dta 1030471 1030471 0 0 1360812 1360812
040.424.424.3.dta 1030471 1030471 0 0 1360812 1360812
040.426.426.2.dta 2971285 2971285 0 0 7345294 7345294
040.426.426.3.dta 2971285 2971285 0 0 7345294 7345294
040.427.427.2.dta 1228517 1228517 0 0 1655054 1655054
040.427.427.3.dta 1228517 1228517 0 0 1655054 1655054
040.428.428.2.dta 1182203 1182203 0 0 1111625 1111625
