
SEQUEST v.28 (rev. 12), (c) 1998-2007
Molecular Biotechnology, Univ. of Washington, J.Eng/S.Morgan/J.Yates
Licensed to Thermo Fisher Scientific Inc.

In memory indexing of the database took 0.3 seconds

Search run on = TESLA
Params file = C:\Xcalibur\sequest\john\opd1_2runs_2mods\ecoli.params
Peptide tol = 0.0000, fragment tol = 1.0000, AVG/AVG
Ion series = nABY ABCDVWXYZ: 0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
Display top = 10/5, ion % = 0.0, CODE = 101050
Protein database (in-memory indexed) = C:\Xcalibur\database\ecoli_K12_ncbi_20060321.fasta
(M* +15.99940) (STY# +79.97990)  Enzyme:Trypsin(KR/P) (2)
Searched dta file  for scan(s) 239 - 239 @ z=3
Searched dta file  for scan(s) 240 - 240 @ z=2
Searched dta file  for scan(s) 240 - 240 @ z=3
Searched dta file  for scan(s) 243 - 243 @ z=1
Searched dta file  for scan(s) 244 - 244 @ z=1
Searched dta file  for scan(s) 246 - 246 @ z=2
Searched dta file  for scan(s) 246 - 246 @ z=3
Searched dta file  for scan(s) 247 - 247 @ z=2
Searched dta file  for scan(s) 247 - 247 @ z=3
Searched dta file  for scan(s) 248 - 248 @ z=2
Searched dta file  for scan(s) 248 - 248 @ z=3
Searched dta file  for scan(s) 250 - 250 @ z=1
Searched dta file  for scan(s) 251 - 251 @ z=1
Searched dta file  for scan(s) 252 - 252 @ z=2
Searched dta file  for scan(s) 252 - 252 @ z=3
Searched dta file  for scan(s) 254 - 254 @ z=1
Searched dta file  for scan(s) 255 - 255 @ z=1
Searched dta file  for scan(s) 256 - 256 @ z=2
Searched dta file  for scan(s) 256 - 256 @ z=3
Searched dta file  for scan(s) 258 - 258 @ z=1
Searched dta file  for scan(s) 259 - 259 @ z=1
Searched dta file  for scan(s) 260 - 260 @ z=2
Searched dta file  for scan(s) 260 - 260 @ z=3
Searched dta file  for scan(s) 262 - 262 @ z=1
Searched dta file  for scan(s) 263 - 263 @ z=1
Searched dta file  for scan(s) 264 - 264 @ z=1
Searched dta file  for scan(s) 266 - 266 @ z=1
Searched dta file  for scan(s) 267 - 267 @ z=1
Searched dta file  for scan(s) 268 - 268 @ z=1
